Script Name, Function Name, Location, Expression, Boolean
201263.js,"ArrayBindingPattern[2,3].ContainsExpression","Some((step 2, 3:15-30))","(= has true)", false
378111.js,"LexicalBinding[1,0].Evaluation","Some((step 2, 3:29-46))","[? %1]", true
275.js,"OptionalChain[5,0].ChainEvaluation","Some((step 6, 7:21-88))","[? %3]", true
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15.c, 36:17-44))","(&& (comp? R) (! (= R.Type ~normal~)))", false
255395.js,"ArrayBindingPattern[2,1].IteratorBindingInitialization","Some((step 1, 2:20-125))","[? %0]", true
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15, 33:12 - 36:77))","(< %12 %13.length)", true
278016.js,"SingleNameBinding[0,1].KeyedBindingInitialization","Some((step 4.a.i, 7:29-89))","[? %4]", true
286302.js,"Elision[1,0].IteratorDestructuringAssignmentEvaluation","Some((step 2, 3:17-53))","(= iteratorRecord.Done false)", false
269.js,"OptionalExpression[1,0].Evaluation","Some((step 1, 2:37-69))","[? %0]", true
74559.js,"ElementList[3,1].ArrayAccumulation","Some((step 2, 3:17-37))","(! (= this[1] absent))", true
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15.b, 35:17-45))","(! (= R.Value ~empty~))", true
312395.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 6, 7:15-32))","(= next false)", true
223901.js,"ArrayBindingPattern[2,1].ContainsExpression","Some((step 2, 3:15-30))","(= has true)", false
343770.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 8.e, 23:34-61))","[? %7]", true
156027.js,"OptionalChain[7,0].ChainEvaluation","Some((step 2, 3:36-119))","[? %0]", true
360778.js,"CallExpression[6,0].Evaluation","Some((step 2, 3:31-51))","[? %1]", true
340073.js,"INTRINSICS.String.prototype.replaceAll","Some((step 2.b.i, 6:33-64))","[? %2]", true
325717.js,"ArrayBindingPattern[2,1].IteratorBindingInitialization","Some((step 3, 5:19-124))","[? %2]", true
1.js,"CallExpression[3,0].Evaluation","Some((step 1, 2:27-59))","[? %0]", true
105295.js,"CaseBlock[1,1].CaseBlockEvaluation","Some((step 9.a.i.1, 23:36-72))","[? %7]", true
324045.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15, 33:12 - 36:77))","(< %12 %13.length)", false
287536.js,"Elision[1,0].IteratorDestructuringAssignmentEvaluation","Some((step 2.d, 7:19-36))","(= next false)", true
395732.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 30.a, 102:22-65))","[! %31]", false
74559.js,"ElementList[3,1].ArrayAccumulation","Some((step 3, 5:21-98))","[? %2]", true
217247.js,"CaseClauseIsSelected","Some((step 3, 4:36-57))","[? %1]", true
16598.js,"OptionalChain[5,0].ChainEvaluation","Some((step 2, 3:36-119))","[? %0]", true
319870.js,"INTRINSICS.Promise.allSettled","Some((step 1.a, 3:26-93))","[? %3]", true
2032.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 9.a.i.1, 23:36-72))","[? %7]", true
285484.js,"ArrayBindingPattern[2,2].IteratorBindingInitialization","Some((step 2, 3:19-106))","[? %1]", false
172525.js,"ArrayBindingPattern[2,1].IteratorBindingInitialization","Some((step 3, 5:19-124))","[? %2]", false
71481.js,"CaseBlock[1,1].CaseBlockEvaluation","Some((step 13, 31:51-74))","[? %11]", true
266.js,"OptionalExpression[0,0].Evaluation","Some((step 4, 6:21-104))","[? %2]", true
107816.js,"BindingElement[1,1].IteratorBindingInitialization","Some((step 3.b, 14:25-51))","[? %5]", true
191039.js,"ArrayBindingPattern[2,1].ContainsExpression","Some((step 2, 3:15-30))","(= has true)", true
214812.js,"ElementList[1,1].ArrayAccumulation","Some((step 1, 2:17-37))","(! (= this[0] absent))", true
96548.js,"ArrayAssignmentPattern[2,1].DestructuringAssignmentEvaluation","Some((step 3, 4:17-49))","(&& (comp? status) (! (= status.Type ~normal~)))", true
125870.js,"PropertyDefinitionList[1,0].PropertyDefinitionEvaluation","Some((step 1, 2:22-103))","[? %0]", true
264989.js,"INTRINSICS.Promise.allSettled","Some((step 1.a, 3:26-93))","[? %11]", true
270.js,"OptionalExpression[0,0].Evaluation","Some((step 2, 3:33-60))","[? %1]", true
237086.js,"BindingRestElement[1,0].IteratorBindingInitialization","Some((step 3.b.i, 11:23-103))","[? %3]", true
350831.js,"ImportCall[0,0].Evaluation","Some((step 3, 4:33-53))","[? %2]", true
382425.js,"INTRINSICS.Object.getOwnPropertyDescriptor","None","(< 0 argumentsList.length)", false
372645.js,"ArrayBindingPattern[0,3].IteratorBindingInitialization","Some((step 2, 4:19-124))","[? %1]", true
75400.js,"OptionalChain[7,0].ChainEvaluation","Some((step 3, 4:32-58))","[? %1]", true
334259.js,"INTRINSICS.Array.from","Some((step 12.c.i, 44:39-88))","[? %25]", true
180492.js,"ObjectBindingPattern[3,0].BindingInitialization","Some((step 1, 2:20-117))","[? %0]", true
195231.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 9.a.ii.2, 26:21-49))","(! (= R.Value ~empty~))", false
141211.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 7.c, 11:14-33))","[? v]", false
78568.js,"PropertyDefinition[2,0].PropertyDefinitionEvaluation","Some((step 6.a, 11:35-102))","[? %4]", true
172525.js,"ArrayBindingPattern[2,1].IteratorBindingInitialization","Some((step 1, 2:20-125))","[? %0]", false
