Script Name, Function Name, Location, Expression
395732.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 30.a, 102:24-65))","call %31 = clo<PrivateMethodOrAccessorAdd>(F, method)"
209525.js,"PrimaryExpression[11,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
296378.js,"RelationalExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
395732.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 30.a, 102:14-66))","Vector([! %31], %29 = (+ %29 1))"
337825.js,"CaseClause[0,0].HasCallInTailPosition","Some((step 2, 3:14-29))","Vector(return false)"
225557.js,"Statement[7,0].LabelledEvaluation","Some((step 1, 2:19-55))","sdo-call %0 = this->Evaluation()"
172525.js,"ArrayBindingPattern[2,1].IteratorBindingInitialization","Some((step 2, 3:15-35))","(! (= this[1] absent))"
205289.js,"CaseBlock[1,2].HasCallInTailPosition","Some((step 2, 3:53-136))","Vector(let has = %0)"
335047.js,"UnaryExpression[4,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
205289.js,"CaseBlock[1,2].HasCallInTailPosition","Some((step 1, 2:14-35))","Vector(let has = false)"
141211.js,"AsyncArrowBindingIdentifier[0,0].IsSimpleParameterList","Some((step 1, 2:12-26))","Vector(return true)"
205289.js,"CaseBlock[1,2].HasCallInTailPosition","Some((step 2, 3:66-135))","sdo-call %0 = this[0]->HasCallInTailPosition(call)"
201263.js,"ArrayBindingPattern[2,3].ContainsExpression","Some((step 3, 4:19-61))","sdo-call %1 = this[2]->ContainsExpression()"
339749.js,"LeftHandSideExpression[2,0].IsFunctionDefinition","Some((step 1, 2:12-27))","Vector(return false)"
28281.js,"OptionalExpression[2,0].HasCallInTailPosition","Some((step 1, 2:21-82))","sdo-call %0 = this[1]->HasCallInTailPosition(call)"
141211.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 7.a, 9:25-58))","call %3 = clo<Completion>(%2)"
214812.js,"ElementList[1,1].ArrayAccumulation","Some((step 2, 4:23-98))","sdo-call %1 = this[1]->ArrayAccumulation(array, nextIndex)"
355444.js,"Statement[11,0].LabelledEvaluation","Some((step 1, 2:19-55))","sdo-call %0 = this->Evaluation()"
214812.js,"ElementList[1,1].ArrayAccumulation","Some((step 1, 2:17-37))","(! (= this[0] absent))"
294432.js,"AsyncGeneratorAwaitReturn:clo1","None","(< 0 argumentsList.length)"
357214.js,"PrimaryExpression[7,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
57130.js,"Expression[1,0].HasCallInTailPosition","Some((step 1, 2:21-89))","sdo-call %0 = this[1]->HasCallInTailPosition(call)"
221455.js,"FormalParameters[4,0].ContainsExpression","Some((step 1, 2:70-84))","Vector(return true)"
254017.js,"IsInTailPosition","None","Vector(return false)"
263228.js,"ForStatement[0,1].HasCallInTailPosition","Some((step 1, 2:14-79))","Vector(return %0)"
360778.js,"CallExpression[6,0].Evaluation","Some((step 1, 2:30-71))","sdo-call %0 = this[0]->Evaluation()"
394544.js,"ArrayAssignmentPattern[2,2].DestructuringAssignmentEvaluation","Some((step 3.b, 6:16-34))","Vector(return [? status])"
82031.js,"ForStatement[1,1].VarScopedDeclarations","Some((step 2, 3:35-71))","sdo-call %1 = this[3]->VarScopedDeclarations()"
82031.js,"ForStatement[1,1].VarDeclaredNames","Some((step 2, 3:12 - 4:67))","Vector(let names2 = %1, return (list-concat names1 names2)[#189])"
224386.js,"BitwiseANDExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
82031.js,"ForStatement[1,1].VarDeclaredNames","Some((step 2, 3:28-59))","sdo-call %1 = this[3]->VarDeclaredNames()"
